inputLeft outputLeft inputRight outputRight
1089 10753 1053 10753 
1089 10753 1053 10753 
1110 10881 1056 10881 
1110 10881 1056 10881 
1116 11009 1062 11009 
1116 11009 1062 11009 
1120 11137 1064 11137 
1120 11137 1064 11137 
1123 11265 1071 11265 
1123 11265 1071 11265 
1131 11393 1073 11393 
1131 11393 1073 11393 
1132 11521 1074 11521 
1132 11521 1074 11521 
1133 11649 1081 11649 
1133 11649 1081 11649 
1139 11777 1089 11777 
1139 11777 1089 11777 
1146 11905 1089 11905 
1146 11905 1089 11905 
1146 12033 1089 12033 
1146 12033 1089 12033 
1152 12161 1089 12161 
1152 12161 1089 12161 
1155 12289 1088 12289 
1155 12289 1088 12289 
1162 12417 1089 12417 
1162 12417 1089 12417 
1160 12545 1108 12545 
1160 12545 1108 12545 
1164 12673 1114 12673 
1164 12673 1114 12673 
1168 12801 1117 12801 
1168 12801 1117 12801 
1170 12929 1118 12929 
1170 12929 1118 12929 
1171 13057 1120 13057 
1171 13057 1120 13057 
1175 13185 1127 13185 
1175 13185 1127 13185 
1180 13313 1127 13313 
1180 13313 1127 13313 
1182 13441 1132 13441 
1182 13441 1132 13441 
1185 13569 1135 13569 
1185 13569 1135 13569 
1187 13697 1137 13697 
1187 13697 1137 13697 
1188 13825 1138 13825 
1188 13825 1138 13825 
1191 13953 1132 13953 
1191 13953 1132 13953 
1193 14081 1134 14081 
1193 14081 1134 14081 
1193 14209 1137 14209 
1193 14209 1137 14209 
1195 14337 1139 14337 
1195 14337 1139 14337 
1196 14465 1146 14465 
1196 14465 1146 14465 
1197 14593 1146 14593 
1197 14593 1146 14593 
1201 14721 1146 14721 
1201 14721 1146 14721 
1202 14849 1148 14849 
1202 14849 1148 14849 
1206 14977 1152 14977 
1206 14977 1152 14977 
1210 15105 1155 15105 
1210 15105 1155 15105 
1210 15233 1156 15233 
1210 15233 1156 15233 
1211 15361 1162 15361 
1211 15361 1162 15361 
1209 15489 1166 15489 
1209 15489 1166 15489 
1210 15617 1168 15617 
1210 15617 1168 15617 
1216 15745 1169 15745 
1216 15745 1169 15745 
1221 15873 1170 15873 
1221 15873 1170 15873 
1224 16001 1172 16001 
1224 16001 1172 16001 
1226 16129 1175 16129 
1226 16129 1175 16129 
1225 16257 1177 16257 
1225 16257 1177 16257 
1227 16385 1179 16385 
1227 16385 1179 16385 
1227 16513 1184 16513 
1227 16513 1184 16513 
1229 16641 1185 16641 
1229 16641 1185 16641 
1230 16769 1187 16769 
1230 16769 1187 16769 
1234 16897 1185 16897 
1234 16897 1185 16897 
1233 17025 1186 17025 
1233 17025 1186 17025 
1235 17153 1188 17153 
1235 17153 1188 17153 
1237 17281 1190 17281 
1237 17281 1190 17281 
1237 17409 1192 17409 
1237 17409 1192 17409 
1238 17537 1193 17537 
1238 17537 1193 17537 
1240 17665 1197 17665 
1240 17665 1197 17665 
1240 17793 1198 17793 
1240 17793 1198 17793 
